,Administrative Division,Characteristic,Country,Economic Zone,Economic Zone #,GDP per Capita,Nominal GDP (Billion),Population,Region,Year
0,Guangdong,"Export-oriented, digesting foreign advanced technology, high-end consumer goods, high-tech product manufacturing",China,Southeast Coast,4.0,13976.0,1561.0,111690000,East-CN,2019
1,Jiangsu,Multifunctional manufacturing: Light industrial equipment products,China,East Coast,3.0,17985.0,1444.0,80290000,East-CN,2019
2,Shandong,High-tech R & D and manufacturing,China,North Coast,2.0,10294.0,1030.0,100060000,East-CN,2019
3,Zhejiang,Multifunctional manufacturing: Light industrial equipment products,China,East Coast,3.0,15980.0,904.0,56570000,East-CN,2019
4,Henan,"Coal mining and coal deep processing, natural gas and hydropower development, steel industry, non-ferrous industry",China,Yellow River Upper and Middle Reaches,5.0,8233.0,787.0,95590000,Middle-CN,2019
5,Sichuan,"Rice and cotton, steel and non-ferrous metallurgy, automobile industrial base (Wuhan) and other transportation equipment industrial base (Chongqing motorcycle manufacturing), Chongqing-centered heavy chemical industry and Chengdu-centered light textile industry",China,Yangtze River Upper and Middle Reaches,6.0,8143.0,676.0,83020000,West-CN,2019
6,Hubei,"Rice and cotton, steel and non-ferrous metallurgy, automobile industrial base (Wuhan) and other transportation equipment industrial base (Chongqing motorcycle manufacturing), Chongqing-centered heavy chemical industry and Chengdu-centered light textile industry",China,Yangtze River Upper and Middle Reaches,6.0,11250.0,664.0,59020000,Middle-CN,2019
7,Fujian,"Export-oriented, digesting foreign advanced technology, high-end consumer goods, high-tech product manufacturing",China,Southeast Coast,4.0,15725.0,615.0,39110000,East-CN,2019
8,Hunan,"Rice and cotton, steel and non-ferrous metallurgy, automobile industrial base (Wuhan) and other transportation equipment industrial base (Chongqing motorcycle manufacturing), Chongqing-centered heavy chemical industry and Chengdu-centered light textile industry",China,Yangtze River Upper and Middle Reaches,6.0,8397.0,576.0,68600000,Middle-CN,2019
9,Shanghai,Multifunctional manufacturing: Light industrial equipment products,China,East Coast,3.0,22870.0,553.0,24180000,East-CN,2019
10,Anhui,"Rice and cotton, steel and non-ferrous metallurgy, automobile industrial base (Wuhan) and other transportation equipment industrial base (Chongqing motorcycle manufacturing), Chongqing-centered heavy chemical industry and Chengdu-centered light textile industry",China,Yangtze River Upper and Middle Reaches,6.0,8601.0,538.0,62550000,Middle-CN,2019
11,Beijing,High-tech R & D and manufacturing,China,North Coast,2.0,23630.0,513.0,21710000,East-CN,2019
12,Hebei,High-tech R & D and manufacturing,China,North Coast,2.0,6769.0,509.0,75200000,East-CN,2019
