,cities,provinces,GDPpc,GDP (USD) B,Population
0,Shanghai,Shanghai,18756,454.0,24189645.97995308
1,Beijing,Beijing,19105,415.0,21718188.955770742
2,Shenzhen,Guangdong,32091,342.0,10647190.801159203
3,Hong Kong,Hong Kong,37180,333.0,8959037.116729425
4,Guangzhou,Guangdong,22317,318.0,14270735.313886276
5,Chongqing,Chongqing,9396,288.0,30619093.231162198
6,Tianjin,Tianjin,17617,275.0,15594596.128739286
7,Suzhou,Jiangsu,24051,257.0,10665544.05222236
8,Chengdu,Sichuan,12872,206.0,15981510.254816657
9,Wuhan,Hubei,23540,199.0,8437510.620220901
10,Hangzhou,Zhejiang,20011,187.0,9328219.479286393
11,Nanjing,Jiangsu,20899,174.0,8302358.964543758
12,Qingdao,Shandong,17657,163.0,9247154.103188537
13,Wuxi,Jiangsu,23802,156.0,6541004.957566591
14,Changsha,Hunan,19433,151.0,7781660.0627798075
15,Ningbo,Zhejiang,18359,146.0,7939920.474971403
16,Foshan,Guangdong,18413,139.0,7559876.17444197
17,Zhengzhou,Henan,13891,136.0,9802606.00388741
18,Nantong,Jiangsu,15685,115.0,7303602.167676124
19,Dongguan,Guangdong,13527,112.0,8301692.910475345
20,Quanzhou,Fujian,12976,112.0,8615135.635018496
21,Xi'an,Shaanxi,11607,111.0,9534332.730248988
22,Yantai,Shandong,15369,109.0,7076842.995640575
23,Jinan,Shandong,14555,106.0,7277361.731363793
24,Fuzhou,Fujian,13781,105.0,7615049.706117118
25,Hefei,Anhui,13101,104.0,7917029.234409587
26,Dalian,Liaoning,14816,104.0,6987378.509719223
27,Changzhou,Jiangsu,20800,98.0,4712740.384615385
28,Xuzhou,Jiangsu,11199,98.0,8736494.32985088
29,Tangshan,Hebei,12289,97.0,7870127.75653023
30,Changchun,Jilin,12806,96.0,7511869.43620178
31,Harbin,Heilongjiang,8471,93.0,10940148.742769448
32,Weifang,Shandong,9265,87.0,9359633.027522936
33,Shenyang,Liaoning,10331,86.0,8293098.441583583
34,Shijiazhuang,Hebei,7968,81.0,10197289.156626506
35,Wenzhou,Zhejiang,8717,80.0,9194677.067798555
36,Yancheng,Jiangsu,10400,75.0,7238365.384615385
37,Shaoxing,Zhejiang,15046,75.0,4999003.057290974
38,Yangzhou,Jiangsu,16671,75.0,4499790.054585808
39,Nanchang,Jiangxi,13678,74.0,5417604.912998976
40,Kunming,Yunnan,10650,72.0,6755492.957746479
41,Zibo,Shandong,15043,71.0,4697733.164927209
42,"Taizhou, Jiangsu",Jiangsu,15116,70.0,4648782.746758401
43,Jining,Shandong,8210,69.0,8364799.025578563
44,"Taizhou, Zhejiang",Zhejiang,10656,65.0,6099192.9429429425
45,Jiaxing,Zhejiang,13998,65.0,4634876.410915845
46,Xiamen,Fujian,16255,64.0,3965118.4250999694
47,Linyi,Shandong,6106,64.0,10503275.466754012
48,Luoyang,Henan,9328,64.0,6811856.775300171
49,Nanning,Guangxi,8583,61.0,7107421.647442619
50,Xiangyang,Hubei,10151,60.0,5930942.764259679
51,Zhenjiang,Jiangsu,18656,59.0,3183801.4579759864
52,Yichang,Hubei,14526,57.0,3932810.133553628
53,Jinhua,Zhejiang,10285,57.0,5542148.760330578
54,Huizhou,Guangdong,11879,57.0,4775991.245054297
55,Dongying,Shandong,26358,56.0,2143334.0921162455
56,Baotou,Inner mongolia,19384,56.0,2867622.781675609
57,Cangzhou,Hebei,7166,54.0,7530281.886687133
58,Erdos,Inner mongolia,25713,53.0,2061991.9884883133
59,Tai'an,Shandong,9395,53.0,5641192.123469931
60,Guiyang,Guizhou,11033,52.0,4749388.199039246
61,Zhangzhou,Fujian,10298,52.0,5074868.906583803
62,Weihai,Shandong,18434,52.0,2822447.651079527
63,Zhongshan,Guangdong,15657,51.0,3244938.366225969
64,Taiyuan,Shanxi,11484,50.0,4361981.887843957
65,Handan,Hebei,5268,50.0,9501328.777524678
