,Year,Country,Continent_Name,Nominal GDP (Billion),Population,GDP per Capita
0,2019,Afghanistan,Asia,18.73,38041757.00000001,492.0
1,2019,Albania,Europe,15.42,2880913.0,5352.0
2,2019,Algeria,Africa,172.78,43053054.0,4013.0
3,2019,Angola,Africa,91.53,31825299.0,2876.0
4,2019,Antigua and Barbuda,North America,1.69,97115.0,17402.0
5,2019,Argentina,South America,445.47,44780675.0,9948.0
6,2019,Armenia,Europe,13.44,2957728.0,4544.0
7,2019,Armenia,Asia,13.44,2957728.0,4544.0
8,2019,Aruba,North America,2.9,106310.0,27279.0
9,2019,Australia,Oceania,1376.26,25203200.0,54607.0
10,2019,Austria,Europe,447.72,8955108.0,49996.0
11,2019,Azerbaijan,Europe,47.17,10047719.000000002,4695.0
12,2019,Azerbaijan,Asia,47.17,10047719.000000002,4695.0
13,2019,The Bahamas,,12.66,,
14,2019,Bahrain,Asia,38.18,1641164.0,23264.0
15,2019,Bangladesh,Asia,317.47,163046173.0,1947.0
16,2019,Barbados,North America,5.19,287020.99999999994,18082.0
17,2019,Belarus,Europe,62.57,9452409.0,6619.0
18,2019,Belgium,Europe,517.61,11539326.0,44856.0
19,2019,Belize,North America,2.0,390351.0,5124.0
20,2019,Benin,Africa,14.37,11801151.000000002,1218.0
21,2019,Bhutan,Asia,2.84,763093.9999999999,3722.0
22,2019,Bolivia,South America,42.4,,
23,2019,Bosnia and Herzegovina,Europe,20.11,3300998.0,6092.0
24,2019,Botswana,Africa,18.69,2303703.0,8113.0
25,2019,Brazil,South America,1847.02,211049518.99999997,8752.0
26,2019,Brunei Darussalam,Asia,12.46,433296.0,28756.0
27,2019,Bulgaria,Europe,66.25,7000116.999999999,9464.0
28,2019,Burkina Faso,Africa,14.59,20321383.0,718.0
29,2019,Burundi,Africa,3.57,11530577.0,310.0
30,2019,Cabo Verde,,2.01,549936.0,3655.0
31,2019,Cambodia,Asia,26.73,16486542.000000002,1621.0
32,2019,Cameroon,Africa,38.63,25876387.000000004,1493.0
33,2019,Canada,North America,1730.91,37411038.0,46267.0
34,2019,Central African Republic,Africa,2.32,4745179.0,489.0
35,2019,Chad,Africa,11.03,15946882.0,692.0
36,2019,Chile,South America,294.24,18952035.0,15526.0
37,2019,China,Asia,14140.16,1433783691.9999998,9862.0
38,2019,Colombia,South America,327.9,50339443.0,6514.0
39,2019,Comoros,Africa,1.18,850891.0000000001,1387.0
40,2019,Democratic Republic of the Congo,,48.99,86790568.00000001,564.0
41,2019,Republic of Congo,,11.58,,
42,2019,Costa Rica,North America,61.02,5047561.0,12089.0
43,2019,Côte d'Ivoire,,44.44,25716554.0,1728.0
44,2019,Croatia,Europe,60.7,4130299.0,14696.0
45,2019,Cyprus,Europe,24.28,1198573.9999999998,20257.0
46,2019,Cyprus,Asia,24.28,1198573.9999999998,20257.0
47,2019,Czech Republic,Europe,246.95,,
48,2019,Denmark,Europe,347.18,5771876.999999999,60150.0
49,2019,Djibouti,Africa,3.17,973557.0,3256.0
50,2019,Dominica,North America,0.59,71808.0,8216.0
51,2019,Dominican Republic,North America,89.48,10738957.0,8332.0
52,2019,Ecuador,South America,107.91,17373657.0,6211.0
53,2019,Egypt,Africa,302.26,100388076.0,3011.0
54,2019,El Salvador,North America,26.87,6453550.0,4164.0
55,2019,Equatorial Guinea,Africa,12.14,1355982.0000000002,8953.0
56,2019,Eritrea,Africa,2.11,3497117.0,603.0
57,2019,Estonia,Europe,31.04,1325649.0,23415.0
58,2019,Eswatini,,4.66,1148133.0,4059.0
59,2019,Ethiopia,Africa,91.17,112078727.0,813.0
60,2019,Fiji,Oceania,5.71,889955.0,6416.0
61,2019,Finland,Europe,269.65,5532159.000000001,48742.0
62,2019,France,Europe,2707.07,65129731.0,41564.0
63,2019,Gabon,Africa,16.88,2172578.0,7770.0
64,2019,The Gambia,,1.77,,
65,2019,Georgia,Europe,15.93,3996762.0,3986.0
66,2019,Georgia,Asia,15.93,3996762.0,3986.0
67,2019,Germany,Europe,3863.34,83517046.0,46258.0
68,2019,Ghana,Africa,67.08,30417857.999999996,2205.0
69,2019,Greece,Europe,214.01,10473452.0,20434.0
70,2019,Grenada,North America,1.24,112002.00000000001,11071.0
71,2019,Guatemala,North America,81.32,17581476.000000004,4625.0
72,2019,Guinea,Africa,13.37,12771246.000000002,1047.0
73,2019,Guinea-Bissau,Africa,1.4,1920917.0000000002,729.0
74,2019,Guyana,South America,4.12,782775.0,5263.0
75,2019,Haiti,North America,8.82,11263079.0,783.0
76,2019,Honduras,North America,24.45,9746115.0,2509.0
77,2019,Hong Kong SAR,,372.99,,
78,2019,Hungary,Europe,170.41,9684680.0,17596.0
79,2019,Iceland,Europe,23.92,339037.0,70553.0
80,2019,India,Asia,2935.57,1366417756.0,2148.0
81,2019,Indonesia,Asia,1111.71,270625567.0,4108.0
82,2019,Islamic Republic of Iran,,458.5,,
83,2019,Iraq,Asia,224.46,39309789.0,5710.0
84,2019,Ireland,Europe,384.94,4882498.0,78841.0
85,2019,Israel,Asia,387.72,8519373.0,45510.0
86,2019,Italy,Europe,1988.64,60550092.00000001,32843.0
87,2019,Jamaica,North America,15.7,2948277.0,5325.0
88,2019,Japan,Asia,5154.48,126860299.0,40631.0
89,2019,Jordan,Asia,44.17,10101697.0,4373.0
90,2019,Kazakhstan,Europe,170.33,18551428.0,9182.0
91,2019,Kazakhstan,Asia,170.33,18551428.0,9182.0
