Provinces,Nominal GDP (Billion),,,,,,,
Guangdong,"1,560.79",,,,,,,
Jiangsu,"1,444.25",,,,,,,
Shandong,"1,030.19",,,,,,,
Zhejiang,903.84,,,,,,,
Henan,786.54,,,,,,,
Sichuan,675.74,,,,,,,
Hubei,664.32,,,,,,,
Fujian,614.55,,,,,,,
Hunan,576.24,,,,,,,
Shanghai,553.1,,,,,,,
Anhui,538,,,,,,,
Beijing,512.74,,,,,,,
Hebei,508.87,,,,,,,
Shaanxi,373.9,,,,,,, 
Liaoning,361.09,,,,,,,
Jiangxi,358.88,,,,,,,
Chongqing,342.19,,,,,,,
Yunnan,336.65,,,,,,,
Guangxi,307.85,,,,,,,
Inner Mongolia,249.51,,,,,,,
Shanxi,246.82,,,,,,,
Guizhou,243.09,,,,,,,
Tianjin,204.45,,,,,,,
Heilongjiang,197.33,,,,,,,
Xinjiang,197.1,,,,,,,
Jilin,169.99,,,,,,,
Gansu,126.38,,,,,,,
Hainan,76.96,,,,,,,
Ningxia,54.34,,,,,,,
Qinghai,42.99,,,,,,,
Tibet,24.61,,,,,,,
Taiwan,58104,,,,,,,
