Provinces,Nominal GDP (Billion),,,,,,,
Guangdong,1561,,,,,,,
Jiangsu,1444,,,,,,,
Shandong,1030,,,,,,,
Zhejiang,904,,,,,,,
Henan,787,,,,,,,
Sichuan,676,,,,,,,
Hubei,664,,,,,,,
Fujian,615,,,,,,,
Hunan,576,,,,,,,
Shanghai,553,,,,,,,
Anhui,538,,,,,,,
Beijing,513,,,,,,,
Hebei,509,,,,,,,
Shaanxi,374,,,,,,, 
Liaoning,361,,,,,,,
Jiangxi,359,,,,,,,
Chongqing,342,,,,,,,
Yunnan,337,,,,,,,
Guangxi,308,,,,,,,
Inner Mongolia,250,,,,,,,
Shanxi,247,,,,,,,
Guizhou,243,,,,,,,
Tianjin,204,,,,,,,
Heilongjiang,197,,,,,,,
Xinjiang,197,,,,,,,
Jilin,170,,,,,,,
Gansu,126,,,,,,,
Hainan,77,,,,,,,
Ningxia,54,,,,,,,
Qinghai,43,,,,,,,
Tibet,25,,,,,,,
